별점,리뷰
5,예쁘고 따뜻하니까 아주 좋네요
4,좋아요~~ 다 좋은데 조금 커요~~
5,애가 좋아하네요 이쁩니다
5,아들이 완전 만족합니다. 따뜻해서 더 추워져도 계속 잘 입을 듯 합니다.
5,이뻐요! 남편 사줬는데 만족합니다 감사합니다 ^^
5,생각보다 괜찮아요 너무 편해요
5,핏이 완전 예뻐요 실물빨 최고
5,너무 빠른 배송 놀랐어요!!! 제품도 만족합니다.~~~
4,아이가 원해서 사줬는데 마음에 들어해요. 요즘같은 시기에 딱 좋네요.
5,가격대비 넘 좋네요
4,아주좋아요 배송빠르고 좋아요
5,상품과 배송 모두 만족합니다.
5,딸 아이가 너무 좋아하네요..예뻐요
5,워낙 유명한템이라 샀어요 ~ 오버핏을 안좋아해서 s로 주문했고 적당히 낭낭해서 안에 뭐 껴입기 좋을것같아요. 따뜻하구요! 안감 마감 나쁘지 않아요 키 163에 다리 짧은 체형인데 엉덩이 안덮이고 소매길이는 사진 참고하세요~
5,기모 있어 따숩고 좋아요 맨날 입고다님
3,옷털이 많이빠지고 날려요.
5,생각했던 것보다는 살짝 더 오버핏감이 있지만 핏이 너무 좋아서 예쁘네요! 특히 후드가 정말 커서 좋아요.
5,입어보니 편안하고 따뜻했어요. 앞으로도 자주 입을 것 같아요.
5,질도좋고 핏도 너무 이빠요
5,친구꺼 입어보고 샀는데 넘 만족해요! 근데 기모가 어두운옷 입으니까 묻어나더라구요 ㅠㅠ 한번 세탁하면 괜찮겠죠..?
5,일부러 오버핏으로 입으려고 큰 사이즈 주문했습니다. 옷감도 부들부들해서 착용감 좋고 원하던 느낌이네요
4,생각보다 크지만 편해요
5,딸래미가 이쁘다고 잘 입고다니네요.
5,S M 사이즈중 고민했는데 키도작고 예전에 여기 후드티 M사이즈사서 컸던거생각해서 그냥 S주문했는데 딱 이쁜사이즈네요 기모도 빵빵하고 이뻐요
5,사이즈도 잘 맞고 배송이 빨라서 좋았어요.
4,도톰한재질이 맘에 들어요
4,따뜻하게 사이즈도 적당하고 좋아요.
3,처음 구매인데 툭걸치기 좋네요 자주 애용할게유
5,배송도 빠르고 상품도 넘 맘에 들어요
5,좀 편하게 입고싶어서 m사이즈로 했는데 아주 좋아요 ~ 4년 전에 우연히 샀던 후드가 소매부분 제외하면 아직도 멀쩡해서 믿고 샀습니다. 기모는 빨다보면 숨이 죽긴 하는데 전체적인 형태는 쭈그러들거나 주름생깆ㄴ 않았어서 이 친구도 그럴 거 같아요
3,아이가골라서주문했는데 얇게나마기모도있고 간절기에는딱이네요
5,핏좋고 재질도 좋고 이뻐요~
5,딸이 넘 맘에들어해요~
5,핏 너무 좋아요. 모자도 두꺼워서 모양 이뻐요
5,코어ㅐㄹ욯ㅇㅍ커타머ㅛ나ㅏㅓ
4,옅은기모가들어있어요 보프리가생겨4점 기모있는줄모르고??나머진만족
5,낙낙하니 교복위에 입기 좋아요
4,후두에ㅜ달린끈이 약간은 운동화끈 같기도해요 잘입을께요
5,153에45킬로.S사이즈  오버핏으로 잘맞아요
5,도톰하니 꽃샘추위도 거뜬하게 이겨내겠어요.
5,상품 아주 맘에 들어요
5,사이즈도 딱이고 넘 예뻐요
5,S사서 잘 입다 한치수 큰걸로 다시 주문했어요~~~예뻐요~~~
3,아주 잘 입고 다녀요
5,아주 잘입고있급니다 감사합니다
5,디자인 착용감 둘 다 너무 만족입니다
5,딸냄이가 사달라고해서 사줬는데 만족해하네요.
5,넘 이뻐요.두께강도있고 기모라 따틋~ 가격에비해 소재나 디잔 넝 좋아요. 이브랜드 디잔 소재 가격 너무좋아서.자주 이쁜옷 구매합니다.~~완전좋아~~
5,정말 잘입고 있어요!!ㅋㅋㅋ 160에 45키로인데 M은 조금 큰것같긴해요...아니 많이 크지만 그런 스타일로 입어도 이쁩니다. S도 한번 고려할만해요~
5,따듯하고 모자 커서 좋네요
4,안쪽 촉감도 좋고 스타일도 좋아요
5,편하게 입고다니기 좋아요
3,2번째 구매입니다 !
3,이뻐서 재구매 했습니다
5,조아요죙용조아용!!!!!!
5,마감도 깨끗하고  이뻐요
4,이쁘네요~~잘입도록 할께요
5,좋은데 검정색 옷 위에 입으면 털 붙어요..
5,큰거 원하긴 했는데 정말 커요 따뜻할것 같고 촉감도 좋아요
5,예쁘고 편하고 가성비 좋아용 친구가 알려줬는데 디테일도 재질도 너무 좋아서 깜짝 놀랐어요
4,...............
5,아들 사줬는데 마음에 들어 합니다
5,아들이 만족합니다.
5,예뻐요. 배송도 빨라요.   오우 두께감 적당하고 라인잡아주니 좃네여 대두찡들 무적권 각잡힌루즈핏이답이다 가즈아
5,조카선물로 사줬는데 좀 크긴해도   부해보이진 않네요...  조카도 맘에 들어하고 만족합니다 ^^
5,중학생 딸아이 아주 잘 입고 다니네요 밝은 그레이컬러가 따뜻해보이고 이뻐요 다만 안에 검정티입으면 기모에서 흰게 많이 묻어나는게 단점이긴한데 여러번 세탁해보고 괜찮아지길 기대해봅니다^^
4,163에 56킬로 6학년 아이에 잘 맞아요 너무 크지도 너무 딱 맞지도 않고 이쁘게 맞아요 오자마자 입혀보고 세탁했어요 옷안감에 있는 흰색들이 속안에 입은티에 무지하게 묻어나요... 바로 세탁하고  건조기까지 했지만 흰색이 계속 다른티에 묻어나요..ㅜㅜ 그것만 아니면 이쁘고 편한옷은 분명해요
5,생각보다 살짝 더 오버핏이예요
5,생각보다 팔이 많이 안길고 예쁜 오버핏이예요. 따뜻하고 편해서 만날 입고 싶은 옷입니다.
5,아들이 예쁘게 입고있길래 저도 따라 샀어요 제가 입으니 가오리같기도 해요 역시 패완얼 .
3,아들이 입었는데 깔끔해보여요
5,딸아이가  좋아하네요 최근산  인터넷쇼핑중  제일  나았어요
5,사이즈 잘 맞고 딸이 좋다고 해서 하나더 주문합니다
5,작년에 산거보다 더 도톰해진거같아용 좋아용
4,디자인이 너무 예쁜 후드집업이에용!!
4,적당히 잘 맞아요   좋아요
4,색상 이뻐요 얇은건줄알았는데 안에담들어서 겨울에 입어야겠네요
5,160인 여자가 입기엔 조금 기네요 제일작은 엠시켰는데오 약간 가오리핏끼가 있어서 어깨가 너무 커보여요 170후반인 남동생주니까 딱 예쁜 오버핏이네요 제가못입었지만 그래도 원단일아 기모는 아주 질이 좋아요
5,고2 딸이 아주 마음에 들어 합니다
5,이쁘네요 가격대비좋아요
5,예뻐요. 기모라서 좀 더 있다가 입어야할거 같아요
5,생각했던 거보다 더 이뻤어요
5,너무이쁘고마음에드네요
5,오버핏이지만 넘 이쁩니다.
5,매우 좋아요 친구 따라서 사길 잘함 굿
5,좋아요 많이 파세요
5,옷도 탄탄하고 넉넉하니 좋아유
3,나름...괜찮음..
5,훌륭한 재질과 핏  칼라까지 완벽
5,조금 뒤에 옷이 피는게 있긴한데 오버핏이어서 편하게 입고 다니기 좋아요!
5,무지 자주 입었어요. 평범한데 예쁜 핏
4,봄에 입으려고 샀는데  안에 기모달려있는거는 미쳐 확인을 못했네요. 더워요. 한국인모델 핏이 없어서 별로였지만 많은 그레이후드집업중에 그래도 특색이 조금있어서 구매했습니다. wv다른 제품 구매의향 없습니다.
4,편하게 잘 입고 다닙니다 탄탄해요 옷이
5,아들이 아주 만족해하며 입고있어요 이쁘네요
5,가격 대비 상당히 고급스러워요 마감도 좋구요.
4,기모 털이 많이 뭍어요
4,톡톡하니  좋아요 핏도 예뻐요
4,독서실 갈 때 편하게 입으려고 샀는데 처음에 안에 털이 많이 빠지는거 빼고는 괜찮았어요
3,길이가 조그 짧은편이지만 디자인은 만족합니다.
5,너무너무잘쓰고있어요~
5,딸이 너무 좋아하네요. 이쁩니다
5,널널하니 크고 좋아요 잘입을게요
4,잘 입고 다닐 것 같아요 탄탄한 소재 안에 기모 안감 따뜻해요! 추천
5,중3 딸  여유있게 잘 맞아요.
5,예뻐용^^간절기때 입으면 좋을것같아요
4,아이가  좋아하네요
5,중 2. 딸아이에게 예쁘게 잘 어울려요
5,따뜻하고 좋습니다!!좋아요
5,친구 생일선물로 샀어요 사진이 친구 얼굴이 나와서 잘랐어요 깔끔하고 괜찮아보였어요 굉장히 좋아해서 기뻐요 많이 파세요~
4,보들보들하고 좋네요 오버핏이라 편하게 입을듯
5,화면보다 더이쁘구요 키156 42kg인 저희 딸이 입으니 딱 적당히오버핏되서 이쁩니다.
